step,dual_mode_compactness
1,1.0
2,1.0000000000000002
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.9999999999999997
15,1.0
16,1.0
17,1.0
18,0.9999999999999997
19,1.0
20,0.9999999999999997
21,1.0
22,0.9999999999999998
23,1.0000000000000002
24,0.9999999999999998
25,1.0000000000000002
26,1.0000000000000002
27,1.0000000000000002
28,1.0000000000000002
29,1.0000000000000002
30,1.0000000000000002
31,0.9999999999999998
32,0.9999999999999998
33,1.0000000000000002
34,0.9999999999999998
35,0.9999999999999998
36,0.9999999999999998
37,0.9999999999999998
38,0.9999999999999998
39,0.9999999999999998
40,1.0
41,1.0
42,0.9999999999999998
43,1.0
44,1.0
45,0.9999999999999998
46,0.9999999999999998
47,0.9999999999999998
48,0.9999999999999998
49,1.0
50,0.9999999999999998
51,0.9999999999999998
52,0.9999999999999998
53,0.9999999999999998
54,0.9999999999999998
55,0.9999999999999998
56,0.9999999999999998
57,0.9999999999999998
58,0.9999999999999998
59,0.9999999999999998
60,0.9999999999999998
61,0.9999999999999998
62,0.9999999999999998
63,0.9999999999999998
64,0.9999999999999998
65,0.9999999999999998
66,0.9999999999999998
67,0.9999999999999998
68,0.9999999999999998
69,1.0
70,0.9999999999999998
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0000000000000002
94,1.0000000000000002
95,1.0000000000000002
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0000000000000002
129,1.0000000000000002
130,1.0000000000000002
131,1.0000000000000002
132,1.0000000000000002
133,1.0000000000000002
134,1.0000000000000002
135,1.0000000000000002
136,1.0000000000000002
137,1.0000000000000002
138,1.0000000000000002
139,1.0000000000000002
140,1.0000000000000002
141,1.0000000000000002
142,1.0000000000000004
143,1.0000000000000002
144,1.0000000000000004
145,1.0000000000000002
146,1.0000000000000004
147,1.0000000000000004
148,1.0000000000000002
149,1.0000000000000004
150,1.0000000000000004
151,1.0000000000000004
152,1.0000000000000004
153,1.0000000000000004
154,1.0000000000000004
155,1.0000000000000004
156,1.0000000000000004
157,1.0000000000000002
158,1.0000000000000004
159,1.0000000000000002
160,1.0000000000000002
161,1.0000000000000002
162,1.0000000000000002
163,1.0000000000000002
164,1.0000000000000002
165,0.9999999999999998
166,1.0000000000000002
167,1.0000000000000002
168,1.0000000000000002
169,1.0000000000000002
170,1.0000000000000002
171,1.0000000000000002
172,1.0000000000000002
173,0.9999999999999998
174,1.0000000000000002
175,1.0000000000000002
176,1.0000000000000004
177,1.0000000000000004
178,1.0000000000000004
179,1.0000000000000004
180,1.0000000000000004
181,1.0000000000000004
182,1.0000000000000004
183,1.0000000000000004
184,1.0000000000000004
185,1.0000000000000004
186,1.0000000000000004
187,1.0000000000000004
188,1.0000000000000004
189,1.0
190,1.0000000000000004
191,1.0000000000000004
192,1.0000000000000004
193,1.0
194,1.0000000000000004
195,1.0000000000000004
196,1.0000000000000004
197,1.0
198,1.0
199,1.0000000000000004
200,1.0000000000000007
